"gndr","agea","cntry","rgn","ctzmod","brnmod","domicil","prtnr","pdwrkp","isco08p","edumod","edutre","edupmod","eduptre","omogamia","chld3","chld10","chld14","anweight","psu","stratum","pdwrk"
"male",43,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0658895759911093,52,51,1
"female",40,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",2,1,3,2,0,0,0,0,0.685836001959378,276,8,1
"male",37,"AT","West Europe","autochthonous","Rich","Country Village",1,0,"6666666666",3,2,3,2,1,1,1,1,0.534931342876951,269,6,1
"male",48,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.0483148761997239,134,72,1
"female",41,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,1,0.296970137458826,267,6,1
"male",27,"AT","West Europe","immigrant","Rich","Big City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,0,0.308214323227733,241,93,0
"male",49,"AT","West Europe","autochthonous","Rich","Small City",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,1,2,3,0.0351297167163125,86,61,1
"male",42,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",6,3,6666666666,6666666666,6666666666,0,0,0,0.419625406418668,13,15,1
"male",50,"AT","West Europe","autochthonous","Rich","Big City",0,0,"6666666666",2,1,6666666666,6666666666,6666666666,0,0,0,0.155397889496161,319,56,1
"female",43,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",4,2,6666666666,6666666666,6666666666,0,0,0,0.0825327416443233,290,25,0
"female",30,"AT","West Europe","autochthonous","Rich","Small City",1,1,"professionals and employees",3,2,3,2,1,0,0,0,0.274597868949415,355,39,1
"male",46,"AT","West Europe","native","Africa","Big City",0,0,"6666666666",5,3,6666666666,6666666666,6666666666,0,0,0,0.418512884440857,223,37,0
"male",35,"AT","West Europe","autochthonous","Rich","Big City",1,0,"6666666666",7,3,7,3,1,1,1,1,1.20827391713076,363,1,1
"male",36,"AT","West Europe","immigrant","Rich","Big City",1,0,"6666666666",3,2,3,2,1,1,2,2,0.234208581961782,2,1,1
"male",49,"AT","West Europe","autochthonous","Rich","Country Village",1,1,"professionals and employees",4,2,4,2,1,0,0,1,0.671256789110482,286,11,1
"female",44,"AT","West Europe","autochthonous","Rich","Country Village",0,0,"6666666666",3,2,6666666666,6666666666,6666666666,0,0,2,0.332239403335034,274,8,1
"male",50,"AT","West Europe","autochthonous","Rich","Farm or Countryside",1,1,"professionals and employees",3,2,4,2,1,0,0,0,0.12661219809419,25,48,1
